"ARTNR";"ARTIKEL1";"ARTIKEL2";"EK";"VK";"VKI";"ME";"EINGABE";"MWST";"ARTGRU";"SKOSTEN";"SPEICHER";"STUECK";"PREIS1";"FK5";"VKI1";"LANGTEXT";"FIBUKTO";"FELD1";"FELD2";"FELD3";"LIEFERANT";"ARTIKELART";"ZULIEFERER";"MATCHCODE";"TRAFFIC";"ONLINEART";"ANZAHLPOP";"ANZAHLEMAIL";"ANZAHLFTP";"ANZAHLSUBDOMAINS";"MYSQLDATABASE";"WILDCARDSUB";"FTPJA";"PHPJA";"CGIJA";"SSIJA";"STATIJA";"PWVERZJA";"FEHLERSEITENJA";"WEBFTPJA";"WEBMAILJA";"PHPUPLOAD";"WAP";"SHELLZUGRIFF";"DIRECTLIST";"AUTORESPONDER";"BESTAND";"FREIDOMS";"PROVFAEHIG";"PROVISION"
"DNS-Z";"Domainnameservice & Zahlungsabwicklung";"";;8;9,52;"";"09.06.2004 13:20:54";19;"300";"";"";0;8;;9,28;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-18;;"";
"IDN-DE";".de IDN Registrierung";"";;15;17,85;"";"09.06.2004 13:22:05";19;"300";"";"";14;11,3966;;13,2201;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-74;;"";
"CNO-CH";"CNO Registrierung";"";;17,12;20,3728;"";"09.06.2004 13:20:10";19;"300";"";"";0;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"";
"REG-EU";".eu Registrierung 1jährig";"";6,5;9;10,71;"";"13.04.2007 11:20:22";19;"300";"";"";77;8;;9,52;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-226;;"N";
"REG-LU";".lu Registrierung inkl. Abwicklung & DNS";"";34,78;42,78;50,9082;"";"09.06.2004 13:24:13";19;"300";"";"";2;42,7759;;49,62;"";"";"G";"N";"";"jährlich";"N";"Fondation RESTENA";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-13;;"";
"HOS-S";"Standard Hosting";"";;10,99;13,0781;"";"09.06.2004 13:21:54";19;"310";"";"100";77;10,9914;;12,75;"";"";"J";"N";"";"monatlich";"N";"";"";"5000";"";"10";"-1";"0";"0";"0";"0";"J";"J";"J";"J";"J";"J";"J";"J";"J";"J";"N";"N";"J";"-1";-883;;"";
"HOS-X";"Professional Hosting XXL";"";;28,23;33,5937;"";"09.06.2004 13:21:59";19;"310";"";"500";0;28,2328;;32,75;"";"";"J";"N";"";"monatlich";"N";"";"";"15000";"";"500";"-1";"";"";"1";"";"J";"N";"J";"J";"J";"J";"J";"J";"J";"J";"N";"N";"J";"-1";-29;;"";
"HOS-M";"Mini Hosting";"";;19,38;23,0622;"";"09.06.2004 13:21:33";19;"310";"";"50";4;19,3793;;22,48;"";"";"H";"N";"";"halbjährlich";"N";"";"";"1500";"";"5";"-1";"0";"0";"0";"0";"J";"N";"N";"N";"J";"J";"J";"J";"J";"N";"N";"N";"J";"-1";-58;;"";
"TRAF-M";"E-Mailtraffic über Pauschale";"";9,5;14,9;17,731;"";"09.06.2004 13:25:15";19;"320";"";"";0;14,8966;;17,2801;"";"";"E";"N";"";"einmalig";"N";"MIP GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-157;;"";
"DNS";"Domain Name Service";"";;3;3,57;"";"09.06.2004 13:20:40";19;"300";"";"";0;3;;3,48;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-3;;"";
"REG-NET";".net Registrierung";"";6,5;11;13,09;"";"25.09.2006 15:26:15";19;"300";"";"";70;9,8966;;11,4801;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-421;;"";
"REG-ORG";".org Registrierung";"";6,5;11;13,09;"";"09.06.2004 13:24:29";19;"300";"";"";17;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-133;;"";
"SV-16";"";"";;86,66;100,5256;"";"16.01.2007 17:25:12";16;"";"";"";1;;;;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"REG-INFO";".info Registrierung";"";6,5;11;13,09;"";"09.06.2004 13:23:59";19;"300";"";"";42;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-725;;"";
"REG-BIZ";".biz Registrierung";"";6,5;11;13,09;"";"09.06.2004 13:22:50";19;"300";"";"";9;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-199;;"";
"HOS-EM";"E-Mail Hosting";"";;3;3,57;"";"23.06.2004 14:37:59";19;"310";"";"";1;3;;3,48;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-15;;"";
"REG-AT";".at Registrierung";"";15;30;35,7;"";"09.06.2004 13:22:45";19;"300";"";"";17;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-156;;"";
"REG-COAT";".co.at Registrierung";"";15;30;35,7;"";"09.06.2004 13:23:12";19;"300";"";"";0;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";;;"";
"REG-ORAT";".or.at Registrierung";"";15;30;35,7;"";"09.06.2004 13:24:25";19;"300";"";"";0;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";;;"";
"SET-DE";"Einrichtung .de Domain";"";2,57;3,5;4,165;"";"12.04.2006 16:04:16";19;"100";"";"";28;3,5;;4,06;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-192;;"N";
"REG-CC";".cc Registrierung";"";18,35;30;35,7;"";"09.06.2004 13:23:01";19;"300";"";"";0;;;;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"";
"REG-TV";".tv Registrierung";"";23,35;38;45,22;"";"09.06.2004 13:24:45";19;"300";"";"";0;;0;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-18;;"";
"REG-US";".us Registrierung";"";6,9;13,5;16,065;"";"29.06.2004 12:49:53";19;"300";"";"";6;10,4483;;12,12;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-15;;"";
"REG-DE";".de Registrierung";"";3,1;10;11,9;"";"26.08.2004 10:43:48";19;"300";"";"";392;6,3966;;7,4201;"";"";"G";"N";"";"jährlich";"N";"Host Europe GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-4381;;"";
"TRAF-W";"Internettraffic über Pauschale";"";;9;10,71;"";"09.06.2004 13:25:21";19;"310";"";"";0;;;;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-141,9;;"";
"REG-CN";".cn Registrierung";"";;37;44,03;"";"09.06.2004 13:28:30";19;"300";"";"";0;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-10;;"";
"REG-AT-IDN";".at Registrierung IDN";"";15;35;41,65;"";"09.06.2004 14:28:19";19;"300";"";"";0;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-6;;"";
"SET-AT-IDN";".at Registrierung IDN - Einrichtung";"";7;18;21,42;"";"09.06.2004 14:31:58";19;"300";"";"";0;;;;"";"";"E";"N";"";"einmalig";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-3;;"";
"VOR-EU";".eu Vormerkung - unverbindlich";"";0;0;0;"";"09.06.2004 17:15:53";19;"300";"";"";0;0;;0;"";"";"K";"N";"";"keine Berechnung";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";;;"";
"PG-2006";"Mittelalterliches Lustspiel";"";;42,24;50,2656;"";"06.12.2005 13:41:26";19;"360";"";"";0;;;;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"SH-S2";"Shared Server II";"";;24;28,56;"";"04.07.2005 17:08:47";19;"310";"";"";3;24;;27,84;"4 GB Websapce50 GB Traffic";"";"J";"N";"";"monatlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-24;;"N";
"WEB";"Webentwicklung / Design";"";;0;0;"";"15.06.2004 16:17:29";19;"330";"";"";7;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-44;;"";
"SC-T";"Terminveröffentlichung swingerclubs.de";"";;6,03;7,1757;"";"23.02.2005 11:29:11";19;"340";"";"";0;6,0259;;6,99;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-3;;"N";
"REG-BIZ-IDN";".biz IDN Registrierung";"";6,5;16;19,04;"";"18.11.2004 15:12:06";19;"300";"";"";0;14,3966;;16,7001;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-9;;"N";
"PG-2003";"Hasch mich";"";;38,79;46,1601;"";"07.10.2004 09:19:36";19;"340";"";"";0;38,7931;;45;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"KON";"gewerbliche Kontaktanzeige";"";;4,31;5,1289;"";"16.06.2004 16:09:00";19;"340";"";"";0;4,3103;;4,9999;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-14;;"";
"REG-CH";".ch Registrierung";"";23,08;23,5;27,965;"";"18.06.2004 13:23:56";19;"300";"";"";15;23,5;;27,26;"";"";"G";"N";"";"jährlich";"N";"SWITCH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-148;;"";
"SET-CH";"Einrichtungsgebühr .ch Domain";"";26,43;26,5;31,535;"";"18.06.2004 13:23:38";19;"300";"";"";0;26,5;;30,74;"";"";"E";"N";"";"einmalig";"N";"SWITCH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-41;;"";
"TRACK";"Nettracker Statistik";"";4,2;8,5;10,115;"";"18.06.2004 13:47:14";19;"310";"";"";3;8,5;;9,86;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-43;;"";
"PP-E";"Partnerprovision";"";;0;0;"";"18.06.2004 14:37:31";19;"340";"";"";3;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-264;;"";
"REG-DE-V";".de Domain Verlängerung";"";3,1;10;11,9;"";"18.06.2004 15:30:49";19;"300";"";"";1;6,3966;;7,4201;"";"";"G";"N";"";"jährlich";"N";"Host Europe GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"";
"HOS-M-CH";"Jahreskosten Mini Webhosting";"";;36;42,84;"";"23.06.2004 14:51:01";19;"610";"";"";1;36;;36;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-4;;"";
"SHOP-S";"";"";;;0;"";"";19;"340";"";"";0;;;;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";;;"";
"SET-AT";".at Einrichtungsgebühr";"";7;30;35,7;"";"12.07.2004 12:19:21";19;"300";"";"";0;18;;20,88;"";"";"E";"N";"";"einmalig";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-9;;"";
"PROC-M";"E-Mailkonfiguration Spamfilter";"";;;0;"";"02.07.2004 10:14:35";19;"350";"";"";0;;;;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-3;;"";
"STD-T";"Arbeitsstunde Technik";"";;45;53,55;"";"02.07.2004 10:27:42";19;"350";"";"";18,25;45;;52,2;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-310,25;;"";
"SERV-M";"Serverhousing - E-Mailserver";"";;99;117,81;"";"02.07.2004 10:44:00";19;"320";"";"";1;99;;114,84;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-32;;"";
"SERV-H";"Serverhousing";"";;0;0;"";"06.07.2004 11:33:30";19;"320";"";"";0;0;;0;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"";
"DNS-CH";".ch Nameservice und Abwicklung";"";;8;9,52;"";"12.07.2004 12:27:55";19;"300";"";"";3;6;;6,96;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-39;;"";
"PG-2021";"Swinger 2000";"";19,95;42,2414;50,2673;"";"14.07.2004 16:53:59";19;"360";"";"";0;42,2414;;49;"";"";"E";"N";"";"einmalig";"N";"Private Games GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-52;;"";
"PG-2001";"";"";11,95;;0;"";"";19;"360";"";"";0;;;;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";;;"";
"PG-V";"Versand Inland";"";6,9;2,5862;3,0776;"";"14.07.2004 16:52:14";19;"360";"";"";0;2,5862;;3;"";"";"E";"N";"";"einmalig";"N";"Private Games GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-42;;"";
"PG-VN";"Nachnahmezuschlag Versand Inland";"";4;2,5862;3,0776;"";"14.07.2004 16:52:32";19;"360";"";"";0;2,5862;;3;"";"";"E";"N";"";"einmalig";"N";"Private Games GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-34;;"";
"PC";"PC System";"";;0;0;"";"19.07.2004 16:40:19";19;"500";"";"";0;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"";
"CLICK-E";"Bannerklick Erotik";"";;0;0;"";"20.07.2004 14:58:15";19;"340";"";"";0;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-3;;"";
"REG-GR2";".gr Registrierung 2jährig";"";;45;53,55;"";"29.08.2006 17:29:45";19;"300";"";"";0;40;;46,4;"";"";"Z";"N";"";"zweijährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"SER";"Allgemeine Dienstleistung";"";;0;0;"";"15.09.2004 12:09:57";19;"200";"";"";3;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-30;;"N";
"SERV-D";"dedizierte Servermaschine";"";85,34;200;238;"";"28.07.2004 11:37:29";19;"310";"";"";21;;;;"";"";"J";"N";"";"monatlich";"N";"1&1 Internet AG";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-77;;"";
"DOM-V";"Domainverkauf";"";0;0;0;"";"05.08.2004 17:56:37";19;"360";"";"";0;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-3;;"";
"SET-SD";"Einrichtung dedizierte Servermaschine";"";85,34;140;166,6;"";"28.07.2004 11:40:34";19;"310";"";"";0;140;;162,4;"";"";"E";"N";"";"einmalig";"N";"1&1 Internet AG";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-6;;"";
"CONS";"Beratung";"";;0;0;"";"30.07.2004 15:00:46";19;"350";"";"";0;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-4;;"";
"SOF-VBB-U";"VBulletinBoard - Update";"";24,45;24,45;29,0955;"";"09.08.2004 12:35:59";19;"370";"";"";0;24,4483;;28,36;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"";
"HW";"Hardware";"";0;0;0;"";"13.08.2004 12:20:31";19;"380";"";"";0;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-11;;"";
"PP-S";"Provisionen - Sonstige";"";;0;0;"";"18.08.2004 16:49:32";19;"500";"";"";0;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"";
"RECH-M";"Recherche E-Mailproblem";"";;5;5,95;"";"01.09.2004 11:58:48";19;"350";"";"";0;5;;5,8;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-30;;"";
"PG-2016-CH";"Phantasms";"";;52,6;62,594;"";"03.09.2004 11:37:04";19;"620";"";"";0;52,6034;;61,0199;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"REG-INFO-P";".info Registrierung Sonderaktion";"";0;1;1,19;"";"06.09.2004 12:52:09";19;"300";"";"";0;1;;1,16;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-101;;"N";
"HOS-B";"Backup Hosting";"";;3;3,57;"";"11.10.2004 10:27:05";19;"310";"";"";3;3;;3,48;"";"";"J";"N";"";"monatlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-29;;"N";
"REG-DE-CH";".de Registrierung";"";;17,8;21,182;"";"08.09.2005 13:34:02";19;"300";"";"";0;17,8017;;20,65;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"MX-2";"Fallback MX";"";;0;0;"";"14.10.2004 11:25:09";19;"310";"";"";0;0;;0;"";"";"J";"N";"";"monatlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-4;;"N";
"REG-SC";".sc Registrierung";"";;45;53,55;"";"04.12.2006 14:35:24";19;"100";"";"";0;34,3017;;39,79;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-3;;"N";
"PG-2022";"Dreh' die Buddel";"";;42,24;50,2656;"";"16.11.2004 16:24:41";19;"360";"";"";0;42,2414;;49;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"PG-2025";"Partnerschaftskalender";"";;12,93;15,3867;"";"01.12.2004 15:27:59";19;"360";"";"";0;12,931;;15;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"PG-2016";"Phantasms";"";;34,48;41,0312;"";"01.12.2004 15:28:43";19;"360";"";"";0;34,4828;;40;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"SCWERB";"Werbepauschale swingerclubs.com";"";;0;0;"";"10.01.2006 11:22:00";19;"340";"";"";0;0;;0;"";"";"J";"N";"";"monatlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-15;;"N";
"CLICK-B";"Werbeklick Bannerwerbung";"";;0,05;0,0595;"";"03.01.2005 15:00:56";19;"500";"";"";0;0,0517;;0,06;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-211;;"N";
"PG-2021-CH";"Swinger 2000";"";;66;78,54;"";"03.12.2004 17:47:12";19;"360";"";"";0;66;;76,56;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"CLICK-T";"Werbeklick Textlink";"";;0,05;0,0595;"";"03.01.2005 15:01:33";19;"500";"";"";0;0,0517;;0,06;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-3471;;"N";
"SC-W";"Werbung swingerclubs.de";"";;0;0;"";"20.01.2005 10:11:35";19;"340";"";"";0;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-12;;"N";
"HOS-RPO";"Professional Hosting";"";;17,46;20,7774;"";"04.03.2005 11:48:54";19;"310";"";"";4;17,4569;;20,25;"";"";"J";"N";"";"monatlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-26;;"N";
"REG-BZ";".bz Registrierung";"";;14;16,66;"";"12.04.2005 09:41:38";19;"300";"";"";0;14;;16,24;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"PG-2026";"Herzbox";"";;21,55;25,6445;"";"07.03.2005 15:57:53";19;"340";"";"";0;21,5517;;25;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"PG-2010";"Pantomime Erotika";"";;42,24;50,2656;"";"07.03.2005 16:08:19";19;"340";"";"";0;42,2414;;49;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"REG-NET-CH";".net Registrierung";"";;17,12;20,3728;"";"23.03.2005 13:42:41";19;"300";"";"";0;17,1207;;19,86;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-5;;"N";
"PG-2007";"Frag mich was";"";;21,55;25,6445;"";"11.05.2005 15:51:02";19;"340";"";"";0;21,5517;;25;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-4;;"N";
"PG-2004";"Domipopo";"";;17,24;20,5156;"";"11.05.2005 15:50:48";19;"360";"";"";0;17,2414;;20;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1;;"N";
"REG-NL";".nl Registrierung";"";;23;27,37;"";"08.07.2005 17:46:59";19;"300";"";"";7;23;;26,68;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-12;;"N";
