"ARTNR";"ARTIKEL1";"ARTIKEL2";"EK";"VK";"VKI";"ME";"EINGABE";"MWST";"ARTGRU";"SKOSTEN";"SPEICHER";"STUECK";"PREIS1";"FK5";"VKI1";"LANGTEXT";"FIBUKTO";"FELD1";"FELD2";"FELD3";"LIEFERANT";"ARTIKELART";"ZULIEFERER";"MATCHCODE";"TRAFFIC";"ONLINEART";"ANZAHLPOP";"ANZAHLEMAIL";"ANZAHLFTP";"ANZAHLSUBDOMAINS";"MYSQLDATABASE";"WILDCARDSUB";"FTPJA";"PHPJA";"CGIJA";"SSIJA";"STATIJA";"PWVERZJA";"FEHLERSEITENJA";"WEBFTPJA";"WEBMAILJA";"PHPUPLOAD";"WAP";"SHELLZUGRIFF";"DIRECTLIST";"AUTORESPONDER";"BESTAND";"FREIDOMS";"PROVFAEHIG";"PROVISION"
"0028";"virtuelle Webserver";"";;4,9;5,831;"";"09.06.2004 13:18:07";19;"310";"";"";0;;;;"";"";"J";"N";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
"REG-RU";".ru Registrierung 1. Jahr";"";18,58;18,58;22,1102;"";"09.06.2004 13:24:34";19;"300";"";"";4;18,5776;;21,55;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-39;;"";
"REG-WS";".ws Registrierung";"";12,5;20;23,8;"";"29.06.2004 12:21:51";19;"300";"";"";1;17;;19,72;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-7;;"";
"REG-INFO-PRO";".info Registrierung Promoaktion 2005";"";2,5;5;5,95;"";"27.04.2005 14:44:49";19;"300";"";"";0;3,5;;4,06;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"SET-RU";"Einrichtung .ru Registrierung";"";5,13;8;9,52;"";"24.11.2005 14:30:15";19;"100";"";"";0;6;;6,96;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"PRE-EU-PB";".eu Vorregistrierung Public Body";"";50;70;83,3;"";"16.01.2006 14:00:49";19;"300";"";"";0;70;;81,2;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-4;;"N";
"REG-HK";".hk Registrierung";"";26;50;59,5;"";"28.09.2006 12:04:24";19;"100";"";"";0;40;;46,4;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"SET-SCMS";"Einrichtung Small-CMS-Hosting";"";;41,18;49,0042;"";"26.02.2007 10:15:07";19;"330";"";"";2;41,1798;;49,004;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"PROF";"Professional Hosting";"";;17,8879;21,2866;"";"09.06.2004 13:22:40";19;"310";"";"300";4;;;;"Professional Hosting2 Domains inklusiveFestplattenspeicher 300 MBTransfervolumen mtl. 7500 MBPOP3 E-Mailkonten 20FTP-ZugangWebFTPWebMailSMTP-AnbindungConfixx-KonfigurationsoberflächeCGI-BIN VerzeichnisPerl, SSI, PHPtägliche Abrufstatistik";"";"J";"N";"";"monatlich";"N";"";"";"7500";"";"20";"-1";"0";"0";"0";"0";"J";"J";"J";"J";"J";"J";"J";"J";"J";"J";"N";"N";"J";"20";-40;;"";
"9020";"CNO Registrierung CORE";"";22;32,5;38,675;"";"09.06.2004 13:19:44";19;"300";"";"";0;28;;32,48;"";"";"Z";"N";"";"zweijährlich";"";"Knipp Medien und Kommunikation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-6;;"";
"9021";".de Registrierung Knipp";"";22;32,5;38,675;"";"09.06.2004 13:19:50";19;"300";"";"";0;26;;30,16;"";"";"Z";"N";"";"zweijährlich";"";"Knipp Medien und Kommunikation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-3;;"";
